lic_ticker,lic_name,calendar_year,month,year,month_year,eom_date,sp_gf,sp_mi,share_price,pre_tax_nta,post_tax_nta,sp_vs_pre_tax_nta,sp_vs_post_tax_nta,lic_id
AFI,Australian Foundation Investment Company Limited,2018,January,2018,Jan-18,31-Jan-18,$6.31,$6.31,$6.31,$6.13,$5.23,2.90%,20.70%,
AFI,Australian Foundation Investment Company Limited,2018,February,2018,Feb-18,28-Feb-18,$6.09,$6.09,$6.09,$6.03,$5.15,1.00%,18.30%,
AFI,Australian Foundation Investment Company Limited,2018,March,2018,Mar-18,29-Mar-18,$6.04,$6.04,$6.04,$5.83,$5.02,3.60%,20.30%,
AFI,Australian Foundation Investment Company Limited,2018,April,2018,Apr-18,30-Apr-18,$6.00,$6.00,$6.00,$6.02,$5.15,-0.30%,16.50%,
AFI,Australian Foundation Investment Company Limited,2018,May,2018,May-18,31-May-18,$6.00,$6.00,$6.00,$6.07,$5.19,-1.20%,15.60%,
AFI,Australian Foundation Investment Company Limited,2018,June,2018,Jun-18,29-Jun-18,$6.16,$6.16,$6.16,$6.27,$5.34,-1.80%,15.40%,
AFI,Australian Foundation Investment Company Limited,2018,July,2019,Jul-18,31-Jul-18,$6.33,$6.33,$6.33,$6.34,$5.40,-0.20%,17.20%,
AFI,Australian Foundation Investment Company Limited,2018,August,2019,Aug-18,31-Aug-18,$6.24,$6.24,$6.24,$6.29,$5.34,-0.80%,16.90%,
AFI,Australian Foundation Investment Company Limited,2018,September,2019,Sep-18,28-Sep-18,$6.24,$6.24,$6.24,$6.20,$5.30,0.60%,17.70%,
AFI,Australian Foundation Investment Company Limited,2018,October,2019,Oct-18,31-Oct-18,$6.06,$6.06,$6.06,$5.82,$5.03,4.10%,20.50%,
AFI,Australian Foundation Investment Company Limited,2018,November,2019,Nov-18,30-Nov-18,$5.98,$5.98,$5.98,$5.70,$4.97,4.90%,20.30%,
AFI,Australian Foundation Investment Company Limited,2018,December,2019,Dec-18,31-Dec-18,$6.00,$6.00,$6.00,$5.69,$4.97,5.40%,20.70%,
AFI,Australian Foundation Investment Company Limited,2019,January,2019,Jan-19,31-Jan-19,$6.33,$6.33,$6.33,$5.83,$5.07,8.60%,24.90%,
AFI,Australian Foundation Investment Company Limited,2019,February,2019,Feb-19,28-Feb-19,$6.00,$6.00,$6.00,$5.99,$5.15,0.20%,16.50%,
AFI,Australian Foundation Investment Company Limited,2019,March,2019,Mar-19,29-Mar-19,$5.95,$5.95,$5.95,$6.03,$5.19,-1.30%,14.60%,
AFI,Australian Foundation Investment Company Limited,2019,April,2019,Apr-19,30-Apr-19,$5.94,$5.94,$5.94,$6.19,$5.30,-4.00%,12.10%,
AFI,Australian Foundation Investment Company Limited,2019,May,2019,May-19,31-May-19,$6.09,$6.09,$6.09,$6.28,$5.37,-3.00%,13.40%,
AFI,Australian Foundation Investment Company Limited,2019,June,2019,Jun-19,28-Jun-19,$6.25,$6.25,$6.25,$6.49,$5.52,-3.70%,13.20%,
AFI,Australian Foundation Investment Company Limited,2019,July,2020,Jul-19,31-Jul-19,$6.50,$6.50,$6.50,$6.64,$5.63,-2.10%,15.50%,
AFI,Australian Foundation Investment Company Limited,2019,August,2020,Aug-19,30-Aug-19,$6.17,$6.17,$6.17,$6.35,$5.41,-2.80%,14.00%,
AFI,Australian Foundation Investment Company Limited,2019,September,2020,Sep-19,30-Sep-19,$6.38,$6.38,$6.38,$6.48,$5.51,-1.50%,15.80%,
AFI,Australian Foundation Investment Company Limited,2019,October,2020,Oct-19,31-Oct-19,$6.54,$6.54,$6.54,$6.51,$5.53,0.50%,18.30%,
AFI,Australian Foundation Investment Company Limited,2019,November,2020,Nov-19,29-Nov-19,$6.88,$6.88,$6.88,$6.76,$5.71,1.80%,20.50%,
AFI,Australian Foundation Investment Company Limited,2019,December,2020,Dec-19,31-Dec-19,$7.11,$7.11,$7.11,$6.63,$5.63,7.20%,26.30%,
AFI,Australian Foundation Investment Company Limited,2020,January,2020,Jan-20,31-Jan-20,$7.09,$7.09,$7.09,$6.96,$5.86,1.90%,21.00%,
AFI,Australian Foundation Investment Company Limited,2020,February,2020,Feb-20,28-Feb-20,$6.36,$6.36,$6.36,$6.35,$5.41,0.20%,17.60%,
AFI,Australian Foundation Investment Company Limited,2020,March,2020,Mar-20,31-Mar-20,$5.65,$5.65,$5.65,$5.18,$4.60,9.10%,22.80%,
AFI,Australian Foundation Investment Company Limited,2020,April,2020,Apr-20,30-Apr-20,$5.80,$5.80,$5.80,$5.54,$4.85,4.70%,19.60%,
AFI,Australian Foundation Investment Company Limited,2020,May,2020,May-20,29-May-20,$6.07,$6.07,$6.07,$5.77,$5.02,5.20%,20.90%,
AFI,Australian Foundation Investment Company Limited,2020,June,2020,Jun-20,30-Jun-20,$6.09,$6.09,$6.09,$5.96,$5.16,2.20%,18.00%,
AFI,Australian Foundation Investment Company Limited,2020,July,2021,Jul-20,30-Jul-20,$6.33,$6.33,$6.33,$6.01,$5.19,5.30%,22.00%,
AFI,Australian Foundation Investment Company Limited,2020,August,2021,Aug-20,31-Aug-20,$6.28,$6.28,$6.28,$6.05,$5.18,3.80%,21.20%,
AFI,Australian Foundation Investment Company Limited,2020,September,2021,Sep-20,30-Sep-20,$6.31,$6.31,$6.31,$5.90,$5.09,6.90%,24.00%,
AFI,Australian Foundation Investment Company Limited,2020,October,2021,Oct-20,30-Oct-20,$6.51,$6.51,$6.51,$6.03,$5.18,8.00%,25.70%,
AFI,Australian Foundation Investment Company Limited,2020,November,2021,Nov-20,30-Nov-20,$7.21,$7.21,$7.21,$6.56,$5.56,9.90%,29.70%,
AFI,Australian Foundation Investment Company Limited,2020,December,2021,Dec-20,31-Dec-20,$7.30,$7.30,$7.30,$6.64,$5.61,9.90%,30.10%,
AFI,Australian Foundation Investment Company Limited,2021,January,2021,Jan-21,29-Jan-21,$7.52,$7.52,$7.52,$6.68,$5.63,12.60%,33.60%,
AFI,Australian Foundation Investment Company Limited,2021,February,2021,Feb-21,26-Feb-21,$7.09,$7.09,$7.09,$6.60,$5.56,7.40%,27.50%,
AFI,Australian Foundation Investment Company Limited,2021,March,2021,Mar-21,31-Mar-21,$7.42,$7.42,$7.42,$6.80,$5.72,9.10%,29.70%,
AFI,Australian Foundation Investment Company Limited,2021,April,2021,Apr-21,30-Apr-21,$7.48,$7.48,$7.48,$7.06,$5.91,5.90%,26.60%,
AFI,Australian Foundation Investment Company Limited,2021,May,2021,May-21,31-May-21,$7.54,$7.54,$7.54,$7.22,$6.03,4.40%,25.00%,
AFI,Australian Foundation Investment Company Limited,2021,June,2021,Jun-21,30-Jun-21,$7.82,$7.82,$7.82,$7.45,$6.19,5.00%,26.30%,
AFI,Australian Foundation Investment Company Limited,2021,July,2022,Jul-21,30-Jul-21,$8.42,$8.42,$8.42,$7.61,$6.31,10.60%,33.40%,
AFI,Australian Foundation Investment Company Limited,2021,August,2022,Aug-21,31-Aug-21,$8.39,$8.39,$8.39,$7.71,$6.36,8.80%,31.90%,
AFI,Australian Foundation Investment Company Limited,2021,September,2022,Sep-21,30-Sep-21,$8.41,$8.41,$8.41,$7.54,$6.25,11.50%,34.60%,
AFI,Australian Foundation Investment Company Limited,2021,October,2022,Oct-21,29-Oct-21,$8.20,$8.20,$8.20,$7.51,$6.24,9.20%,31.40%,
AFI,Australian Foundation Investment Company Limited,2021,November,2022,Nov-21,30-Nov-21,$8.25,$8.25,$8.25,$7.55,$6.28,9.30%,31.40%,
AFI,Australian Foundation Investment Company Limited,2021,December,2022,Dec-21,31-Dec-21,$8.46,$8.46,$8.46,$7.76,$6.43,9.00%,31.60%,
AFI,Australian Foundation Investment Company Limited,2022,January,2022,Jan-22,31-Jan-22,$8.56,$8.56,$8.56,$7.16,$6.02,19.60%,42.20%,
AFI,Australian Foundation Investment Company Limited,2022,February,2022,Feb-22,28-Feb-22,$7.96,$7.96,$7.96,$7.04,$5.93,13.10%,34.20%,
AFI,Australian Foundation Investment Company Limited,2022,March,2022,Mar-22,31-Mar-22,$8.30,$8.30,$8.30,$7.43,$6.21,11.70%,33.70%,
AFI,Australian Foundation Investment Company Limited,2022,April,2022,Apr-22,29-Apr-22,$8.24,$8.24,$8.24,$7.39,$6.19,11.50%,33.10%,
AFI,Australian Foundation Investment Company Limited,2022,May,2022,May-22,31-May-22,$8.11,$8.11,$8.11,$7.14,$6.04,13.60%,34.30%,
AFI,Australian Foundation Investment Company Limited,2022,June,2022,Jun-22,30-Jun-22,$7.51,$7.51,$7.51,$6.63,$5.68,13.30%,32.20%,
AFI,Australian Foundation Investment Company Limited,2022,July,2023,Jul-22,29-Jul-22,$8.00,$8.00,$8.00,$7.07,$5.99,13.20%,33.60%,
AFI,Australian Foundation Investment Company Limited,2022,August,2023,Aug-22,31-Aug-22,$7.72,$7.72,$7.72,$6.90,$5.85,11.90%,32.00%,
AFI,Australian Foundation Investment Company Limited,2022,September,2023,Sep-22,30-Sep-22,$7.32,$7.32,$7.32,$6.42,$5.53,14.00%,32.40%,
AFI,Australian Foundation Investment Company Limited,2022,October,2023,Oct-22,31-Oct-22,$7.21,$7.21,$7.21,$6.84,$5.83,5.40%,23.70%,
AFI,Australian Foundation Investment Company Limited,2022,November,2023,Nov-22,30-Nov-22,$7.60,$7.60,$7.60,$7.19,$6.08,5.70%,25.00%,
AFI,Australian Foundation Investment Company Limited,2022,December,2023,Dec-22,30-Dec-22,$7.46,$7.46,$7.46,$6.90,$5.88,8.10%,26.90%,
AFI,Australian Foundation Investment Company Limited,2023,January,2023,Jan-23,31-Jan-23,$7.67,$7.67,$7.67,$7.35,$6.19,4.40%,23.90%,
AFI,Australian Foundation Investment Company Limited,2023,February,2023,Feb-23,28-Feb-23,$7.51,$7.51,$7.51,$7.09,$5.99,5.90%,25.40%,
AFI,Australian Foundation Investment Company Limited,2023,March,2023,Mar-23,31-Mar-23,$7.30,$7.30,$7.30,$7.10,$6.02,2.80%,21.30%,
AFI,Australian Foundation Investment Company Limited,2023,April,2023,Apr-23,28-Apr-23,$7.17,$7.17,$7.17,$7.26,$6.14,-1.20%,16.80%,
AFI,Australian Foundation Investment Company Limited,2023,May,2023,May-23,31-May-23,$7.08,$7.08,$7.08,$7.07,$6.01,0.10%,17.80%,
AFI,Australian Foundation Investment Company Limited,2023,June,2023,Jun-23,30-Jun-23,$7.07,$7.07,$7.07,$7.19,$6.09,-1.70%,16.10%,
AFI,Australian Foundation Investment Company Limited,2023,July,2024,Jul-23,31-Jul-23,$7.21,$7.21,$7.21,$7.36,$6.22,-2.00%,15.90%,
AFI,Australian Foundation Investment Company Limited,2023,August,2024,Aug-23,31-Aug-23,$6.94,$6.94,$6.94,$7.20,$6.08,-3.60%,14.10%,
ARG,Argo Investments Limited,2014,January,2014,Jan-14,31-Jan-14,$7.29,$7.29,$7.29,$7.13,$6.29,2.20%,15.90%,
ARG,Argo Investments Limited,2014,February,2014,Feb-14,28-Feb-14,$7.31,$7.31,$7.31,$7.27,$6.37,0.60%,14.80%,
ARG,Argo Investments Limited,2014,March,2014,Mar-14,31-Mar-14,$7.27,$7.27,$7.27,$7.29,$6.40,-0.30%,13.60%,
ARG,Argo Investments Limited,2014,April,2014,Apr-14,30-Apr-14,$7.20,$7.20,$7.20,$7.39,$6.48,-2.60%,11.10%,
ARG,Argo Investments Limited,2014,May,2014,May-14,30-May-14,$7.36,$7.36,$7.36,$7.46,$6.55,-1.30%,12.40%,
ARG,Argo Investments Limited,2014,June,2014,Jun-14,30-Jun-14,$7.63,$7.63,$7.63,$7.35,$6.48,3.80%,17.70%,
ARG,Argo Investments Limited,2014,July,2015,Jul-14,31-Jul-14,$7.76,$7.76,$7.76,$7.63,$6.67,1.70%,16.30%,
ARG,Argo Investments Limited,2014,August,2015,Aug-14,29-Aug-14,$7.90,$7.90,$7.90,$7.58,$6.61,4.20%,19.50%,
ARG,Argo Investments Limited,2014,September,2015,Sep-14,30-Sep-14,$7.58,$7.58,$7.58,$7.22,$6.38,5.00%,18.80%,
ARG,Argo Investments Limited,2014,October,2015,Oct-14,31-Oct-14,$7.83,$7.83,$7.83,$7.51,$6.58,4.30%,19.00%,
ARG,Argo Investments Limited,2014,November,2015,Nov-14,28-Nov-14,$7.85,$7.85,$7.85,$7.25,$6.42,8.30%,22.30%,
ARG,Argo Investments Limited,2014,December,2015,Dec-14,31-Dec-14,$7.76,$7.76,$7.76,$7.36,$6.49,5.40%,19.60%,
ARG,Argo Investments Limited,2015,January,2015,Jan-15,30-Jan-15,$7.99,$7.99,$7.99,$7.53,$6.61,6.10%,20.90%,
ARG,Argo Investments Limited,2015,February,2015,Feb-15,27-Feb-15,$8.03,$8.03,$8.03,$7.92,$6.86,1.40%,17.10%,
ARG,Argo Investments Limited,2015,March,2015,Mar-15,31-Mar-15,$8.01,$8.01,$8.01,$7.93,$6.88,1.00%,16.40%,
ARG,Argo Investments Limited,2015,April,2015,Apr-15,30-Apr-15,$7.85,$7.85,$7.85,$7.84,$6.82,0.10%,15.10%,
ARG,Argo Investments Limited,2015,May,2015,May-15,29-May-15,$7.98,$7.98,$7.98,$7.91,$6.89,0.90%,15.80%,
ARG,Argo Investments Limited,2015,June,2015,Jun-15,30-Jun-15,$7.97,$7.97,$7.97,$7.52,$6.62,6.00%,20.40%,
ARG,Argo Investments Limited,2015,July,2016,Jul-15,31-Jul-15,$8.28,$8.28,$8.28,$7.84,$6.84,5.60%,21.10%,
ARG,Argo Investments Limited,2015,August,2016,Aug-15,31-Aug-15,$7.87,$7.87,$7.87,$7.13,$6.31,10.40%,24.70%,
ARG,Argo Investments Limited,2015,September,2016,Sep-15,30-Sep-15,$7.59,$7.59,$7.59,$6.89,$6.17,10.20%,23.00%,
ARG,Argo Investments Limited,2015,October,2016,Oct-15,30-Oct-15,$7.74,$7.74,$7.74,$7.17,$6.38,7.90%,21.30%,
ARG,Argo Investments Limited,2015,November,2016,Nov-15,30-Nov-15,$7.61,$7.61,$7.61,$7.13,$6.36,6.70%,19.70%,
ARG,Argo Investments Limited,2015,December,2016,Dec-15,31-Dec-15,$8.00,$8.00,$8.00,$7.28,$6.47,9.90%,23.60%,
ARG,Argo Investments Limited,2016,January,2016,Jan-16,29-Jan-16,$7.56,$7.56,$7.56,$6.90,$6.20,9.60%,21.90%,
ARG,Argo Investments Limited,2016,February,2016,Feb-16,29-Feb-16,$7.30,$7.30,$7.30,$6.59,$5.96,10.80%,22.50%,
ARG,Argo Investments Limited,2016,March,2016,Mar-16,31-Mar-16,$7.27,$7.27,$7.27,$6.87,$6.17,5.80%,17.80%,
ARG,Argo Investments Limited,2016,April,2016,Apr-16,29-Apr-16,$7.26,$7.26,$7.26,$7.07,$6.31,2.70%,15.10%,
ARG,Argo Investments Limited,2016,May,2016,May-16,31-May-16,$7.23,$7.23,$7.23,$7.28,$6.47,-0.70%,11.70%,
ARG,Argo Investments Limited,2016,June,2016,Jun-16,30-Jun-16,$7.37,$7.37,$7.37,$7.11,$6.34,3.70%,16.20%,
ARG,Argo Investments Limited,2016,July,2017,Jul-16,29-Jul-16,$7.51,$7.51,$7.51,$7.49,$6.61,0.30%,13.60%,
ARG,Argo Investments Limited,2016,August,2017,Aug-16,31-Aug-16,$7.31,$7.31,$7.31,$7.27,$6.44,0.60%,13.50%,
ARG,Argo Investments Limited,2016,September,2017,Sep-16,30-Sep-16,$7.23,$7.23,$7.23,$7.30,$6.48,-1.00%,11.60%,
ARG,Argo Investments Limited,2016,October,2017,Oct-16,31-Oct-16,$7.27,$7.27,$7.27,$7.17,$6.39,1.40%,13.80%,
ARG,Argo Investments Limited,2016,November,2017,Nov-16,30-Nov-16,$7.28,$7.28,$7.28,$7.35,$6.53,-1.00%,11.50%,
ARG,Argo Investments Limited,2016,December,2017,Dec-16,30-Dec-16,$7.46,$7.46,$7.46,$7.63,$6.73,-2.20%,10.80%,
ARG,Argo Investments Limited,2017,January,2017,Jan-17,31-Jan-17,$7.61,$7.61,$7.61,$7.60,$6.71,0.10%,13.40%,
ARG,Argo Investments Limited,2017,February,2017,Feb-17,28-Feb-17,$7.53,$7.53,$7.53,$7.58,$6.67,-0.70%,12.90%,
ARG,Argo Investments Limited,2017,March,2017,Mar-17,31-Mar-17,$7.54,$7.54,$7.54,$7.84,$6.87,-3.80%,9.80%,
ARG,Argo Investments Limited,2017,April,2017,Apr-17,28-Apr-17,$7.62,$7.62,$7.62,$7.92,$6.92,-3.80%,10.10%,
ARG,Argo Investments Limited,2017,May,2017,May-17,31-May-17,$7.60,$7.60,$7.60,$7.74,$6.82,-1.80%,11.40%,
ARG,Argo Investments Limited,2017,June,2017,Jun-17,30-Jun-17,$7.67,$7.67,$7.67,$7.71,$6.80,-0.50%,12.80%,
ARG,Argo Investments Limited,2017,July,2018,Jul-17,31-Jul-17,$7.99,$7.99,$7.99,$7.71,$6.80,3.60%,17.50%,
ARG,Argo Investments Limited,2017,August,2018,Aug-17,31-Aug-17,$7.79,$7.79,$7.79,$7.57,$6.67,2.90%,16.80%,
ARG,Argo Investments Limited,2017,September,2018,Sep-17,29-Sep-17,$7.78,$7.78,$7.78,$7.55,$6.67,3.00%,16.60%,
ARG,Argo Investments Limited,2017,October,2018,Oct-17,31-Oct-17,$7.93,$7.93,$7.93,$7.81,$6.86,1.50%,15.60%,
ARG,Argo Investments Limited,2017,November,2018,Nov-17,30-Nov-17,$8.03,$8.03,$8.03,$7.95,$6.97,1.00%,15.20%,
ARG,Argo Investments Limited,2017,December,2018,Dec-17,29-Dec-17,$8.13,$8.13,$8.13,$8.06,$7.05,0.90%,15.30%,
ARG,Argo Investments Limited,2018,January,2018,Jan-18,31-Jan-18,$8.39,$8.39,$8.39,$8.04,$7.04,4.40%,19.20%,
ARG,Argo Investments Limited,2018,February,2018,Feb-18,28-Feb-18,$8.07,$8.07,$8.07,$7.83,$6.87,3.10%,17.50%,
ARG,Argo Investments Limited,2018,March,2018,Mar-18,29-Mar-18,$7.83,$7.83,$7.83,$7.59,$6.72,3.20%,16.50%,
ARG,Argo Investments Limited,2018,April,2018,Apr-18,30-Apr-18,$7.73,$7.73,$7.73,$7.84,$6.90,-1.40%,12.00%,
ARG,Argo Investments Limited,2018,May,2018,May-18,31-May-18,$7.82,$7.82,$7.82,$7.92,$6.97,-1.30%,12.20%,
ARG,Argo Investments Limited,2018,June,2018,Jun-18,29-Jun-18,$7.97,$7.97,$7.97,$8.16,$7.16,-2.30%,11.30%,
ARG,Argo Investments Limited,2018,July,2019,Jul-18,31-Jul-18,$8.19,$8.19,$8.19,$8.24,$7.21,-0.60%,13.60%,
ARG,Argo Investments Limited,2018,August,2019,Aug-18,31-Aug-18,$8.03,$8.03,$8.03,$8.19,$7.15,-2.00%,12.30%,
ARG,Argo Investments Limited,2018,September,2019,Sep-18,28-Sep-18,$7.94,$7.94,$7.94,$8.06,$7.09,-1.50%,12.00%,
ARG,Argo Investments Limited,2018,October,2019,Oct-18,31-Oct-18,$7.73,$7.73,$7.73,$7.62,$6.78,1.40%,14.00%,
ARG,Argo Investments Limited,2018,November,2019,Nov-18,30-Nov-18,$7.67,$7.67,$7.67,$7.42,$6.65,3.40%,15.30%,
ARG,Argo Investments Limited,2018,December,2019,Dec-18,31-Dec-18,$7.58,$7.58,$7.58,$7.34,$6.60,3.30%,14.80%,
ARG,Argo Investments Limited,2019,January,2019,Jan-19,31-Jan-19,$7.80,$7.80,$7.80,$7.60,$6.79,2.60%,14.90%,
ARG,Argo Investments Limited,2019,February,2019,Feb-19,28-Feb-19,$7.63,$7.63,$7.63,$7.91,$6.97,-3.50%,9.50%,
ARG,Argo Investments Limited,2019,March,2019,Mar-19,29-Mar-19,$7.63,$7.63,$7.63,$7.93,$7.01,-3.80%,8.80%,
ARG,Argo Investments Limited,2019,April,2019,Apr-19,30-Apr-19,$7.80,$7.80,$7.80,$8.14,$7.16,-4.20%,8.90%,
ARG,Argo Investments Limited,2019,May,2019,May-19,31-May-19,$7.92,$7.92,$7.92,$8.24,$7.24,-3.90%,9.40%,
ARG,Argo Investments Limited,2019,June,2019,Jun-19,28-Jun-19,$8.12,$8.12,$8.12,$8.42,$7.37,-3.60%,10.20%,
